#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
90292,276.34332056,-41.74245928,13.27,9.306,8.663,1.37,0.016,0.015
90345,276.50415303,15.758568,14.6,7.906,7.461,0.95,0.008,0.006
90355,276.54251193,8.77868888,37.04,8.7,7.912,1.7,0.009,0.007
90365,276.59189095,8.61690344,26.3,9.278,8.386,1.08,0.011,0.009
90397,276.67001005,-30.39318111,21.94,7.396,6.811,0.93,0.007,0.007
90450,276.8408062,-30.12426838,13.69,9.754,9.137,1.54,0.027,0.025
90459,276.88036665,-15.37370215,22.83,7.485,7.015,0.96,0.009,0.01
90467,276.90420349,2.38316342,19.27,9.17,8.511,1.21,0.019,0.017
90485,276.95618477,-29.81690216,27.53,6.52,5.961,0.91,0.005,0.004
90496,276.99278955,-25.42124732,42.2,4.186,2.945,0.9,0.004,0.004
90504,277.0190032,-28.38571241,14.25,8.789,8.268,1.09,0.014,0.013
90532,277.09177411,6.83526411,15.24,8.203,7.693,0.93,0.01,0.008
90539,277.10386629,-3.87527217,26.2,9.236,8.408,1.08,0.018,0.014
90548,277.14371582,0.79713874,17.32,8.925,8.111,1.13,0.016,0.013
90559,277.1848585,16.7740111,13.46,9.223,8.517,1.22,0.014,0.012
90563,277.19476571,-44.08854814,12.53,10.066,9.405,1.3,0.028,0.025
90565,277.19866781,-10.2264206,15.53,9.284,8.66,1.03,0.021,0.019
90574,277.23638102,-25.04283982,17.62,9.213,8.479,2.11,0.183,0.172
90578,277.24174366,-4.26427717,17.11,12.102,10.849,2.06,0.219,0.113
90590,277.28099852,-37.00998299,18.18,8.79,8.112,1.13,0.011,0.01
90593,277.29587436,11.69554386,15.39,9.022,8.282,1.11,0.013,0.011
90596,277.29969528,-29.25941911,22.14,7.42,6.936,0.95,0.007,0.007
90611,277.34311605,-27.97085976,34.75,10.922,9.488,1.5,0.053,0.026
90618,277.36428493,13.85511061,21.33,7.515,7.075,0.85,0.007,0.006
90621,277.36527651,7.35963859,17.31,8.477,7.83,0.9,0.01,0.009
90626,277.38250514,9.06191053,37.22,9.907,8.788,1.24,0.021,0.014
90642,277.42067689,-1.98522563,13.81,6.602,5.49,0.78,0.006,0.003
