#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
26722,85.17907131,-36.58496106,19.05,8.475,7.904,0.75,0.01,0.009
26729,85.19327446,9.26561527,13.68,8.743,8.037,1.06,0.013,0.011
26737,85.21669361,-31.35021979,27.15,8.653,7.912,0.7,0.009,0.008
26744,85.24093606,32.89599354,16.13,7.307,6.79,0.9,0.006,0.006
26761,85.27276976,24.35021559,17.34,8.18,7.673,1.17,0.012,0.015
26762,85.27328514,0.33768602,19.46,6.287,5.959,1.04,0.004,0.004
26775,85.32056886,-26.34668648,14.29,8.07,7.588,1.54,0.006,0.006
26779,85.33472092,53.48233045,81.69,7.274,6.297,0.83,0.005,0.004
26787,85.34749551,-35.71380323,18.23,9.794,9.061,0.86,0.023,0.019
26799,85.37116657,34.81296871,16.05,9.854,9.18,1.43,0.031,0.027
26801,85.37802824,53.49105798,80.13,11.511,9.838,1.67,0.08,0.027
26807,85.39311117,15.21418407,26.51,8.531,7.785,1.11,0.013,0.011
26809,85.39709124,-16.43421329,14.12,9.766,9.077,1.39,0.016,0.014
26829,85.44784612,63.2964788,14.41,8.296,7.221,0.81,0.009,0.007
26830,85.45512595,-50.00445206,18.62,9.689,8.79,1.93,0.021,0.016
26834,85.47307898,-15.63025585,36.05,8.343,7.441,0.92,0.009,0.008
26844,85.49507883,15.33733032,46.51,12.288,10.772,2.35,0.287,0.124
26883,85.61402647,-50.47528345,19.58,10.02,9.057,0.82,0.024,0.017
26890,85.63177297,61.31272675,22.02,10.752,9.692,1.55,0.053,0.033
26904,85.67353712,-67.1387611,12.85,8.1,7.576,0.84,0.01,0.008
26907,85.69037392,2.68032382,31.9,9.62,8.653,1.28,0.033,0.024
26926,85.72461574,-6.79631491,19.94,6.477,6.017,0.83,0.003,0.003
26933,85.74458429,54.25762995,23.49,10.401,9.379,1.4,0.028,0.019
26935,85.74500626,-7.48092249,16.82,9.011,8.248,1.2,0.013,0.011
26942,85.75690634,56.58145257,16.26,7.273,6.152,0.7,0.005,0.004
26966,85.84024542,-18.55744324,14.45,5.716,5.729,0.76,0.003,0.003
26973,85.8600448,-47.8234963,27.86,9.58,8.615,0.79,0.023,0.016
26974,85.86088457,52.48872616,33.02,7.892,7.216,0.95,0.006,0.006
26977,85.86902778,-25.62198228,18.53,9.568,8.783,1.05,0.013,0.011
26981,85.87562146,-39.40691739,18.73,6.677,6.291,0.55,0.004,0.004
26985,85.88594923,-76.76846241,22.59,9.621,8.849,0.71,0.018,0.015
26990,85.89912288,-39.92356834,19.17,8.843,8.206,0.73,0.01,0.009
27014,85.95040282,-19.65189041,12.52,8.2,7.436,0.83,0.007,0.006
27021,85.96946899,-21.27976964,23.15,7.734,7.171,0.82,0.006,0.005
27058,86.07315707,-10.01638315,25.43,7.865,7.193,0.76,0.007,0.006
27067,86.10281216,40.40488757,19.06,8.955,8.331,2.02,0.029,0.026
27069,86.10604886,-5.46470032,12.93,8.442,8.007,1.01,0.009,0.009
27070,86.11018989,40.40755605,19.06,11.097,9.941,2.02,0.108,0.067
27072,86.11656241,-22.44748663,111.49,4.18,3.65,0.6,0.003,0.002
27075,86.11835896,-20.1266631,39.15,7.036,6.407,0.74,0.004,0.003
27090,86.16404799,-29.9162348,13.78,9.091,8.327,0.79,0.014,0.011
27099,86.19098407,-72.66227588,13.77,8.792,8.318,0.74,0.012,0.012
27100,86.19341279,-65.7355408,22.48,4.61,4.367,0.46,0.002,0.002
27118,86.25749324,4.00819399,19.79,6.486,6.136,1.01,0.004,0.004
27123,86.27801362,33.62646373,18.64,7.295,6.829,0.96,0.006,0.006
27128,86.29049334,-26.99249018,15.93,8.845,8.271,0.91,0.01,0.009
27133,86.30456934,-31.66931836,14.2,7.283,6.864,0.62,0.005,0.005
27134,86.30594015,-59.92407867,20.19,10.336,9.354,0.81,0.031,0.022
27155,86.34823148,35.61798133,17.85,10.664,9.671,2.13,0.059,0.037
27158,86.35670315,-12.43439149,14.01,9.283,8.388,1.03,0.014,0.011
27161,86.3696521,-1.61496744,15.25,8.97,8.281,1.27,0.016,0.013
27165,86.37412381,52.16150412,21.89,7.617,6.927,0.88,0.005,0.004
27185,86.42481611,-15.86983105,17.92,8.774,8.158,1.07,0.01,0.009
27188,86.44959614,62.23868581,73.04,10.867,9.209,1.11,0.043,0.018
27192,86.45636894,40.50724268,16.29,6.869,6.599,0.83,0.006,0.008
27207,86.50636958,37.28588759,48.6,8.396,7.417,1.03,0.016,0.009
27225,86.55016335,78.25608444,28.2,9.134,8.28,0.81,0.012,0.009
27244,86.61647159,-53.21898343,34.7,7.335,6.695,0.53,0.007,0.005
27246,86.62284503,74.61057117,27.37,8.203,7.411,0.72,0.007,0.005
27249,86.62653944,56.11571824,16.89,6.122,5.947,0.73,0.004,0.004
27251,86.63326493,42.07385525,13.15,9.509,8.875,1.39,0.024,0.022
27253,86.64566124,1.16853796,23.57,6.894,6.017,0.92,0.007,0.005
27260,86.67669775,-21.82679822,14.47,9.312,8.67,1.15,0.013,0.011
27281,86.71946461,-28.88993838,19.88,8.184,7.598,0.76,0.008,0.007
27288,86.73895728,-14.82194717,46.47,3.686,3.557,0.68,0.002,0.002
27305,86.77610385,-10.63017804,17.14,8.666,8.041,0.97,0.011,0.01
27321,86.82118054,-51.06671329,51.87,4.077,3.879,0.51,0.002,0.002
27323,86.82580489,-48.52435607,48.2,11.596,9.952,1.06,0.09,0.032
27330,86.84120322,-27.13444153,17.07,7.756,7.217,0.72,0.006,0.005
27339,86.8601855,-37.76390819,12.85,9.803,9.115,0.89,0.019,0.017
27359,86.91676194,-36.32826614,66.71,12.267,10.931,1.49,0.154,0.073
27371,86.95639647,-40.06409272,22,9.689,8.887,0.79,0.017,0.013
27372,86.95829154,46.9836749,13.6,8.94,8.269,1.32,0.02,0.017
27417,87.08365922,-24.46376184,23.48,8.487,7.877,0.83,0.007,0.007
27431,87.12841696,7.55133697,13.11,7.543,7.122,0.87,0.006,0.007
27441,87.15329482,-39.93218126,22.53,9.965,8.972,0.83,0.021,0.015
27471,87.26690759,-31.69232822,13.64,8.385,7.896,0.73,0.009,0.009
27483,87.29358126,39.18113322,15.34,5.728,4.621,0.8,0.004,0.004
27491,87.31808273,-37.5132733,15.75,9.985,9.009,0.91,0.022,0.016
27527,87.44035109,27.12203652,28.1,9.963,8.89,1.36,0.036,0.024
27528,87.44243821,32.97313681,24.57,9.333,8.516,1.37,0.022,0.018
27530,87.45656999,-56.1664886,18.78,5.9,4.619,0.47,0.004,0.002
27531,87.45843796,-72.41324241,21.26,10.968,9.993,1.1,0.051,0.033
27559,87.54962573,-55.08138903,12.74,7.833,7.443,0.6,0.007,0.008
27576,87.61140094,75.71468676,16.42,8.249,7.681,0.75,0.008,0.007
27578,87.61393079,-43.70014321,19.96,9.558,8.824,0.77,0.017,0.015
27609,87.68851597,-29.11127384,19.91,9.242,8.404,1.27,0.015,0.012
27628,87.7398034,-35.76929225,37.94,4.627,3.242,0.57,0.003,0.002
27633,87.75243839,-69.90237049,17.1,8.108,7.653,1.11,0.009,0.011
27641,87.7636008,11.49886298,17.35,7.981,7.043,1.02,0.01,0.007
27654,87.82980343,-20.87751376,29.05,5.029,3.889,0.62,0.004,0.004
27673,87.87246934,39.14847936,15.17,5.427,4.098,0.88,0.003,0.002
27688,87.93243843,-30.46563246,15.74,9.848,9.044,1.02,0.02,0.016
27706,87.99863419,37.83282316,15.12,8.87,7.976,1.07,0.016,0.012
27716,88.03628071,-16.06824643,17.64,11.224,10.177,1.63,0.064,0.04
27720,88.04769939,-17.55326214,14.23,8.66,7.755,0.89,0.01,0.008
27728,88.06656112,72.47787375,13.15,8.541,8.054,0.8,0.007,0.007
27758,88.12282384,-2.28531335,18.4,7.893,7.315,1.16,0.012,0.009
27782,88.18753298,-42.77508857,13.93,8.988,8.121,0.72,0.013,0.01
27793,88.22333393,39.19425143,19.48,9.739,8.863,1.37,0.043,0.034
27803,88.25118913,-5.99400202,49.74,11.409,9.803,1.66,0.09,0.035
27820,88.30246868,11.8144892,16.53,7.759,7.248,1,0.009,0.008
27823,88.31351733,-36.26359267,21.06,9.463,8.679,0.84,0.016,0.013
27844,88.36944204,37.33884958,14.93,7.344,6.86,1.19,0.008,0.008
27849,88.37876402,-16.2647919,18.06,7.908,7.333,0.84,0.008,0.007
27855,88.39934714,-56.67042323,15.13,9.206,8.483,0.77,0.015,0.012
27878,88.49480606,12.42006913,18.64,8.474,7.828,1.05,0.013,0.011
27887,88.51792247,-60.02332467,77.95,8.362,7.268,0.53,0.009,0.006
27890,88.52458376,-63.09102096,36.67,5.982,4.764,0.48,0.004,0.004
27896,88.54469795,-50.3638842,28.67,7.663,6.62,0.55,0.007,0.006
27901,88.5585207,-29.14710228,17.84,6.781,6.384,0.71,0.004,0.003
27913,88.59618305,20.27641498,115.43,5.125,4.466,1.08,0.003,0.003
27918,88.61887783,2.14380286,37.57,10.118,8.892,1.26,0.032,0.02
27922,88.62540918,-19.70428207,43.86,8.375,7.586,1.19,0.008,0.008
27923,88.62948821,-55.84435638,14.06,10.002,9.171,0.85,0.023,0.018
27933,88.65262052,11.48555782,12.76,7.633,7.341,0.94,0.007,0.007
27936,88.66996975,-3.48238066,14.97,8.757,8.176,1.17,0.013,0.012
27947,88.70878524,-52.63607272,28.65,5.629,5.32,0.47,0.003,0.002
27948,88.71092989,-65.12503418,17.26,11.094,10.184,1.07,0.052,0.037
27949,88.71160776,55.7069049,13.54,5.034,4.973,0.72,0.003,0.003
27957,88.72482663,-75.45915067,16.91,9.168,8.457,0.66,0.014,0.012
27969,88.73922815,-65.96028767,14.05,9.174,8.587,0.67,0.015,0.014
27970,88.73949792,-12.93866175,15.82,8.302,7.798,0.99,0.009,0.009
27973,88.74591834,31.70193276,12.72,6.086,5.921,0.98,0.004,0.004
27978,88.75122091,-50.9886961,14.21,8.067,7.628,0.58,0.009,0.009
27980,88.75841263,-0.50784823,21.41,8.411,7.724,1.1,0.011,0.012
27986,88.78007772,-9.81004266,13.9,7.841,7.387,0.91,0.008,0.008
28021,88.9024166,-29.9169763,13.42,8.582,7.969,0.78,0.009,0.008
28035,88.92919885,-26.85648122,68.58,12.196,10.962,1.94,0.139,0.075
28036,88.9297757,-38.10454164,18.45,8.037,7.524,0.64,0.008,0.008
28062,88.9980529,-45.19003722,13.84,11.683,10.527,1.27,0.099,0.054
28066,89.01336958,13.92608804,35.72,7.413,6.668,1,0.012,0.011
28070,89.02207835,-76.08878006,14.32,9.596,8.961,0.82,0.019,0.017
28083,89.05019692,-22.26734553,15.97,8.868,8.307,0.97,0.009,0.009
28103,89.10132627,-14.16803805,66.47,4.108,3.751,0.74,0.002,0.002
28125,89.17691068,-81.38724543,16.97,10.944,10.007,0.99,0.054,0.036
28128,89.18395193,-13.15849552,14.47,8.357,7.892,1.17,0.009,0.008
28135,89.20105281,10.47976578,25.08,11.312,10.009,1.92,0.092,0.043
28145,89.21545211,35.73337114,17.52,9.37,8.714,1.24,0.027,0.023
28150,89.22879436,-44.00914824,18.75,7.261,6.713,0.56,0.006,0.005
28153,89.23372483,-46.93278714,42.17,13.086,10.817,1.77,0.416,0.079
28159,89.25717873,15.74195886,14.69,8.954,8.25,1.24,0.014,0.012
28177,89.30686021,-28.88150399,12.71,8.855,8.328,0.8,0.009,0.009
28183,89.32151906,-41.3378616,14.13,10.749,9.92,1,0.041,0.031
28188,89.35757774,21.98105118,16.57,9.566,9.066,1.47,0.022,0.022
28193,89.36997886,-37.84840526,23.92,10.475,9.315,0.95,0.031,0.019
28212,89.41559848,33.26036875,14.8,8.116,7.529,0.97,0.01,0.01
28240,89.51098143,-52.20466444,16.76,9.951,9.023,1.93,0.025,0.018
28241,89.51553505,-35.80019764,16.36,8.963,8.323,0.75,0.012,0.011
28267,89.58955821,-4.65017345,43.1,7.882,7.074,0.93,0.008,0.007
28284,89.64740112,-21.54399249,13.47,8.447,7.414,0.84,0.011,0.007
28304,89.72338555,71.7182381,15.5,10.752,9.768,1.66,0.034,0.023
28311,89.73549157,-34.35927932,16.58,8.957,8.246,0.77,0.011,0.01
28312,89.73776699,18.9799834,13.5,9.19,8.533,1.22,0.016,0.014
28316,89.74614125,-78.28203351,19.96,11.251,10.035,0.93,0.057,0.032
28333,89.80582813,-38.71079131,15.61,9.093,8.472,0.77,0.012,0.011
28336,89.81876624,-17.90025668,15.23,9.778,9.031,1.37,0.017,0.014
28356,89.87464496,2.47613161,14.87,8.295,7.795,0.98,0.011,0.01
28358,89.88145972,54.28498197,23.22,5.026,3.842,0.91,0.003,0.002
28360,89.88237261,44.94743492,39.72,1.989,1.904,0.78,0.005,0.005
28380,89.93015897,37.21276409,18.83,2.574,2.641,0.81,0.005,0.009
28393,89.95702627,-48.23984973,23.24,9.731,8.743,1.02,0.019,0.014
28403,89.98179235,-37.05716916,19.41,9.361,8.68,0.8,0.015,0.013
28419,90.03119374,-38.16758393,15.69,9.328,8.665,0.78,0.015,0.013
28428,90.05758139,4.83519391,18.69,8.215,7.53,0.96,0.011,0.01
28434,90.07359834,-12.89991193,16.7,6.619,6.241,0.82,0.003,0.003
28445,90.08907987,31.43079299,21.69,10.566,9.505,1.73,0.032,0.02
28452,90.11310541,-60.49413056,21.97,10.323,9.382,0.87,0.028,0.02
28460,90.13603897,-56.16197623,19.22,9.563,8.874,0.79,0.017,0.015
28462,90.14443015,-51.46801856,13.24,8.709,8.183,0.64,0.01,0.009
28474,90.17202127,-44.89730687,18.57,9.968,9.176,0.75,0.022,0.018
28484,90.20499138,-51.21655276,15.82,5.907,5.684,0.48,0.003,0.003
28494,90.22497402,21.02186958,31.56,11.655,10.206,2.08,0.109,0.053
28498,90.2305615,-54.95136555,17.92,7.925,7.446,0.66,0.008,0.009
28502,90.25558558,32.22548806,20.33,10.856,9.791,1.9,0.052,0.033
28517,90.29189835,31.03451677,12.71,6.306,6.201,1,0.003,0.003
28518,90.29341246,-38.27348849,18.55,9.892,9.116,0.87,0.021,0.017
28525,90.31930573,-79.87178229,13.79,9.418,8.758,0.82,0.016,0.014
28573,90.45975476,-71.9597927,16,11.058,9.84,1.75,0.052,0.028
28591,90.52700196,-27.42705401,17.96,7.665,7.232,0.76,0.006,0.005
28604,90.56142234,-44.01007461,19.8,9.466,8.797,0.79,0.016,0.014
28614,90.59579323,9.64736756,21.49,4.347,4.15,0.82,0.003,0.002
28626,90.65672697,32.5913924,15.43,7.305,6.847,1,0.006,0.006
28634,90.68796982,47.80930399,35.21,7.167,6.559,0.8,0.005,0.004
28644,90.72965494,32.63621103,20.02,6.746,6.276,0.86,0.005,0.004
28678,90.82485802,-16.04309794,15.07,8.082,7.516,0.94,0.007,0.006
28683,90.840589,31.39014934,14.41,7.573,7.125,0.89,0.007,0.008
28720,90.99943087,-54.13225691,14.61,10.118,9.412,0.9,0.025,0.022
