#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
3119,9.91921008,11.53230972,20.14,8.045,7.486,0.91,0.009,0.01
3122,9.93184864,-11.15047993,13.82,7.337,6.879,0.79,0.006,0.005
3125,9.93497867,-26.46595942,24.73,11.868,10.396,1.63,0.127,0.049
3132,9.94897859,82.4935747,30.95,7.046,6.457,0.5,0.004,0.004
3142,9.98996521,-33.96118617,24.12,7.291,6.744,0.82,0.006,0.005
3148,10.00766279,-46.91262655,13.44,9.476,8.811,1.16,0.013,0.011
3164,10.0802653,26.6662449,16.01,8.724,8.196,0.93,0.014,0.014
3169,10.10140616,-7.65641664,17.02,8.096,7.495,0.95,0.015,0.011
3170,10.10273354,-59.45568115,39.26,6.571,5.96,0.56,0.005,0.007
3174,10.11418791,16.58014668,14.62,9.073,8.334,0.97,0.015,0.012
3179,10.12661349,56.53740928,14.27,3.768,2.377,0.57,0.002,0.002
3181,10.12789463,-27.27586925,19.11,9.653,8.849,1.13,0.018,0.015
3182,10.13394965,-29.86854449,17.32,9.481,8.768,1.19,0.017,0.014
3185,10.13501584,-23.80399309,35.02,7.03,6.231,0.74,0.007,0.004
3195,10.18239757,-49.59175247,23.09,9.746,8.886,1.37,0.015,0.011
3203,10.19784263,-7.23238377,38.65,7.788,7.037,1.1,0.011,0.009
3206,10.20415817,40.18879925,57.9,8.578,7.457,0.98,0.009,0.006
3210,10.21444826,-53.20980159,21.91,7.991,7.431,0.82,0.007,0.006
3214,10.21930456,31.11650674,17.45,8.114,7.643,0.88,0.01,0.009
3232,10.28196824,19.25461642,20.28,11.074,9.883,1.77,0.079,0.045
3236,10.29977784,9.35530818,29.99,7.14,6.576,0.83,0.006,0.005
3238,10.30124327,-68.45781835,13.75,10.11,9.4,0.93,0.023,0.02
3245,10.33156671,-46.08500934,13.19,5.825,4.707,0.67,0.003,0.002
3254,10.36135883,-73.11292731,13.82,10.838,10.037,1.13,0.044,0.035
3261,10.37798776,-33.62495401,50.29,13,10.646,1.93,0.327,0.06
3267,10.39382484,65.86836175,20.99,7.606,6.998,0.66,0.006,0.006
3272,10.42475955,20.13722011,16.94,8.402,7.905,0.94,0.014,0.016
3277,10.44292464,-56.50145475,15.29,5.965,5.73,0.58,0.004,0.003
3279,10.44561425,55.68233412,14.53,9.384,8.682,1.09,0.011,0.009
3280,10.4532301,18.32655867,19.15,12.594,10.965,2.1,0.349,0.135
3282,10.46249707,-53.96364216,18.72,12.197,10.713,1.86,0.139,0.057
3292,10.50357246,-53.19931955,14.87,9.404,8.822,1.19,0.014,0.013
3293,10.50597309,40.6884102,20.38,7.562,7.082,1.02,0.007,0.007
3304,10.53041412,-17.74065467,13.09,10.442,9.607,1.5,0.041,0.032
3311,10.54039926,-3.05603153,19.59,9.236,8.448,1.12,0.017,0.014
3317,10.56807572,-56.87556696,18.33,11.916,10.61,1.58,0.107,0.054
3318,10.5768482,-45.5510433,16.84,8.756,8.208,1.03,0.011,0.01
3326,10.59672229,4.16667497,16.16,8.321,7.785,1.19,0.014,0.015
3330,10.61790472,-65.46813002,24.59,5.984,5.442,0.51,0.003,0.003
3342,10.65022626,-16.703278,18.19,9.731,8.939,1.45,0.021,0.017
3352,10.67349903,-60.26268184,13.73,7.705,6.138,0.58,0.007,0.004
3362,10.70025783,35.54860264,42.03,12.4,10.551,1.98,0.234,0.069
3369,10.71149682,-9.92163939,24.48,7.238,6.703,0.91,0.009,0.006
3391,10.80233084,-37.98235299,22.7,8.78,7.986,0.99,0.013,0.01
3405,10.83851683,-57.46309763,13.57,4.361,4.365,0.57,0.002,0.002
3406,10.8452144,-9.31587562,15.87,9.961,9.298,1.31,0.036,0.032
